mode: set
go-averroes/cmd/app/main.go:14.13,15.58 1 0
go-averroes/internal/routes/routes.go:55.4,55.58 1 1
go-averroes/internal/routes/routes.go:55.58,55.81 1 0
go-averroes/internal/routes/routes.go:59.3,61.3 3 1
go-averroes/internal/routes/routes.go:61.3,62.101 1 1
go-averroes/internal/routes/routes.go:62.101,62.121 1 0
go-averroes/internal/routes/routes.go:63.4,63.101 1 1
go-averroes/internal/routes/routes.go:63.101,63.124 1 0
go-averroes/internal/routes/routes.go:64.4,64.104 1 1
go-averroes/internal/routes/routes.go:64.104,64.127 1 0
go-averroes/internal/routes/routes.go:65.4,65.112 1 1
go-averroes/internal/routes/routes.go:65.112,65.145 1 0
go-averroes/internal/routes/routes.go:70.2,72.2 3 1
go-averroes/internal/routes/routes.go:72.2,73.42 1 1
go-averroes/internal/routes/routes.go:73.42,73.68 1 0
go-averroes/internal/routes/routes.go:74.3,74.46 1 1
go-averroes/internal/routes/routes.go:74.46,74.70 1 0
go-averroes/internal/routes/routes.go:75.3,75.43 1 1
go-averroes/internal/routes/routes.go:75.43,75.70 1 0
go-averroes/internal/routes/routes.go:76.3,76.46 1 1
go-averroes/internal/routes/routes.go:76.46,76.73 1 0
go-averroes/internal/routes/routes.go:77.3,77.49 1 1
go-averroes/internal/routes/routes.go:77.49,77.76 1 0
go-averroes/internal/routes/routes.go:78.3,78.50 1 1
go-averroes/internal/routes/routes.go:78.50,78.77 1 0
go-averroes/internal/routes/routes.go:79.3,79.50 1 1
go-averroes/internal/routes/routes.go:79.50,79.77 1 0
go-averroes/internal/routes/routes.go:80.3,80.56 1 1
go-averroes/internal/routes/routes.go:80.56,80.85 1 0
go-averroes/internal/routes/routes.go:84.2,86.2 3 1
go-averroes/internal/routes/routes.go:86.2,90.25 1 1
go-averroes/internal/routes/routes.go:90.25,90.62 1 0
go-averroes/internal/routes/routes.go:92.3,94.25 1 1
go-averroes/internal/routes/routes.go:94.25,94.63 1 0
go-averroes/internal/routes/routes.go:96.3,99.25 1 1
go-averroes/internal/routes/routes.go:99.25,99.62 1 0
go-averroes/internal/routes/routes.go:101.3,104.25 1 1
go-averroes/internal/routes/routes.go:104.25,104.65 1 0
go-averroes/internal/routes/routes.go:106.3,109.25 1 1
go-averroes/internal/routes/routes.go:109.25,109.65 1 0
go-averroes/internal/routes/routes.go:114.2,116.2 3 1
go-averroes/internal/routes/routes.go:116.2,118.47 1 1
go-averroes/internal/routes/routes.go:118.47,118.75 1 0
go-averroes/internal/routes/routes.go:121.3,124.25 1 1
go-averroes/internal/routes/routes.go:124.25,124.53 1 0
go-averroes/internal/routes/routes.go:126.3,129.25 1 1
go-averroes/internal/routes/routes.go:129.25,129.56 1 0
go-averroes/internal/routes/routes.go:131.3,134.25 1 1
go-averroes/internal/routes/routes.go:134.25,134.56 1 0
go-averroes/internal/routes/routes.go:139.2,141.2 3 1
go-averroes/internal/routes/routes.go:141.2,147.25 1 1
go-averroes/internal/routes/routes.go:147.25,147.64 1 0
go-averroes/internal/routes/routes.go:149.3,152.25 1 1
go-averroes/internal/routes/routes.go:152.25,152.72 1 0
go-averroes/internal/routes/routes.go:154.3,157.25 1 1
go-averroes/internal/routes/routes.go:157.25,157.71 1 0
go-averroes/internal/routes/routes.go:159.3,162.25 1 1
go-averroes/internal/routes/routes.go:162.25,162.70 1 0
go-averroes/internal/routes/routes.go:164.3,167.25 1 1
go-averroes/internal/routes/routes.go:167.25,167.64 1 0
go-averroes/internal/routes/routes.go:169.3,173.25 1 1
go-averroes/internal/routes/routes.go:173.25,173.67 1 0
go-averroes/internal/routes/routes.go:175.3,179.25 1 1
go-averroes/internal/routes/routes.go:179.25,179.67 1 0
go-averroes/testutils/testutils.go:12.20,22.16 3 1
go-averroes/testutils/testutils.go:22.16,23.48 1 0
go-averroes/testutils/testutils.go:28.36,32.2 3 1
go-averroes/testutils/testutils.go:35.20,36.22 1 0
go-averroes/testutils/testutils.go:36.22,40.3 2 0
go-averroes/testutils/testutils.go:42.2,56.29 2 0
go-averroes/testutils/testutils.go:56.29,58.17 2 0
go-averroes/testutils/testutils.go:58.17,60.48 1 0
go-averroes/testutils/testutils.go:60.48,64.19 3 0
go-averroes/testutils/testutils.go:64.19,65.122 1 0
go-averroes/testutils/testutils.go:67.10,68.96 1 0
go-averroes/internal/session/session.go:24.44,30.47 3 1
go-averroes/internal/session/session.go:30.47,37.3 3 0
go-averroes/internal/session/session.go:40.2,58.26 4 1
go-averroes/internal/session/session.go:58.26,65.3 3 0
go-averroes/internal/session/session.go:68.2,69.16 2 1
go-averroes/internal/session/session.go:69.16,76.3 3 0
go-averroes/internal/session/session.go:79.2,80.16 2 1
go-averroes/internal/session/session.go:80.16,87.3 3 0
go-averroes/internal/session/session.go:90.2,91.16 2 1
go-averroes/internal/session/session.go:91.16,98.3 3 0
go-averroes/internal/session/session.go:100.2,101.16 2 1
go-averroes/internal/session/session.go:101.16,108.3 3 0
go-averroes/internal/session/session.go:111.2,122.16 5 1
go-averroes/internal/session/session.go:122.16,129.3 3 1
go-averroes/internal/session/session.go:131.2,144.4 3 0
go-averroes/internal/session/session.go:148.45,153.22 3 0
go-averroes/internal/session/session.go:153.22,160.3 3 0
go-averroes/internal/session/session.go:163.2,164.17 2 0
go-averroes/internal/session/session.go:164.17,171.3 3 0
go-averroes/internal/session/session.go:174.2,179.16 2 0
go-averroes/internal/session/session.go:179.16,186.3 3 0
go-averroes/internal/session/session.go:188.2,192.4 2 0
go-averroes/internal/session/session.go:196.51,202.47 3 0
go-averroes/internal/session/session.go:202.47,209.3 3 0
go-averroes/internal/session/session.go:212.2,231.26 3 0
go-averroes/internal/session/session.go:231.26,238.3 3 0
go-averroes/internal/session/session.go:241.2,241.41 1 0
go-averroes/internal/session/session.go:241.41,248.3 3 0
go-averroes/internal/session/session.go:251.2,252.16 2 0
go-averroes/internal/session/session.go:252.16,259.3 3 0
go-averroes/internal/session/session.go:262.2,268.16 3 0
go-averroes/internal/session/session.go:268.16,275.3 3 0
go-averroes/internal/session/session.go:277.2,285.4 2 0
go-averroes/internal/session/session.go:289.54,293.9 3 0
go-averroes/internal/session/session.go:293.9,300.3 3 0
go-averroes/internal/session/session.go:302.2,308.16 2 0
go-averroes/internal/session/session.go:308.16,315.3 3 0
go-averroes/internal/session/session.go:316.2,319.18 3 0
go-averroes/internal/session/session.go:319.18,322.17 3 0
go-averroes/internal/session/session.go:322.17,324.12 2 0
go-averroes/internal/session/session.go:327.3,329.39 3 0
go-averroes/internal/session/session.go:332.2,336.4 2 0
go-averroes/internal/session/session.go:340.52,344.9 3 0
go-averroes/internal/session/session.go:344.9,351.3 3 0
go-averroes/internal/session/session.go:353.2,354.21 2 0
go-averroes/internal/session/session.go:354.21,361.3 3 0
go-averroes/internal/session/session.go:364.2,366.26 3 0
go-averroes/internal/session/session.go:366.26,373.3 3 0
go-averroes/internal/session/session.go:376.2,377.16 2 0
go-averroes/internal/session/session.go:377.16,384.3 3 0
go-averroes/internal/session/session.go:386.2,390.4 2 0
go-averroes/internal/session/session.go:394.74,411.26 3 0
go-averroes/internal/session/session.go:411.26,413.3 1 0
go-averroes/internal/session/session.go:416.2,418.16 3 0
go-averroes/internal/session/session.go:418.16,420.3 1 0
go-averroes/internal/session/session.go:422.2,422.33 1 0
go-averroes/internal/session/session.go:422.33,424.3 1 0
go-averroes/internal/session/session.go:426.2,426.19 1 0
go-averroes/internal/session/session.go:432.38,435.16 3 1
go-averroes/internal/session/session.go:435.16,437.3 1 0
go-averroes/internal/session/session.go:438.2,438.39 1 1
go-averroes/internal/session/session.go:442.55,443.56 1 0
go-averroes/internal/session/session.go:443.56,445.3 1 0
go-averroes/internal/session/session.go:446.2,446.11 1 0
go-averroes/internal/session/session.go:450.54,458.16 2 1
go-averroes/internal/session/session.go:458.16,460.3 1 0
go-averroes/internal/session/session.go:461.2,464.18 3 1
go-averroes/internal/session/session.go:464.18,474.17 3 0
go-averroes/internal/session/session.go:474.17,475.12 1 0
go-averroes/internal/session/session.go:477.3,477.30 1 0
go-averroes/internal/session/session.go:480.2,480.19 1 1
go-averroes/internal/role/role.go:19.43,23.18 3 0
go-averroes/internal/role/role.go:23.18,30.3 3 0
go-averroes/internal/role/role.go:32.2,39.26 3 0
go-averroes/internal/role/role.go:39.26,46.3 3 0
go-averroes/internal/role/role.go:48.2,48.16 1 0
go-averroes/internal/role/role.go:48.16,55.3 3 0
go-averroes/internal/role/role.go:57.2,61.4 2 0
go-averroes/internal/role/role.go:65.45,74.16 3 0
go-averroes/internal/role/role.go:74.16,81.3 3 0
go-averroes/internal/role/role.go:82.2,85.18 3 0
go-averroes/internal/role/role.go:85.18,88.17 3 0
go-averroes/internal/role/role.go:88.17,90.12 2 0
go-averroes/internal/role/role.go:92.3,92.30 1 0
go-averroes/internal/role/role.go:95.2,99.4 2 0
go-averroes/internal/role/role.go:103.46,107.47 3 0
go-averroes/internal/role/role.go:107.47,114.3 3 0
go-averroes/internal/role/role.go:117.2,119.26 3 0
go-averroes/internal/role/role.go:119.26,126.3 3 0
go-averroes/internal/role/role.go:128.2,132.16 2 0
go-averroes/internal/role/role.go:132.16,139.3 3 0
go-averroes/internal/role/role.go:141.2,148.4 3 0
go-averroes/internal/role/role.go:152.46,156.47 3 0
go-averroes/internal/role/role.go:156.47,163.3 3 0
go-averroes/internal/role/role.go:165.2,166.18 2 0
go-averroes/internal/role/role.go:166.18,173.3 3 0
go-averroes/internal/role/role.go:176.2,178.26 3 0
go-averroes/internal/role/role.go:178.26,185.3 3 0
go-averroes/internal/role/role.go:188.2,188.21 1 0
go-averroes/internal/role/role.go:188.21,191.27 3 0
go-averroes/internal/role/role.go:191.27,198.4 3 0
go-averroes/internal/role/role.go:201.2,204.21 3 0
go-averroes/internal/role/role.go:204.21,207.3 2 0
go-averroes/internal/role/role.go:208.2,208.28 1 0
go-averroes/internal/role/role.go:208.28,211.3 2 0
go-averroes/internal/role/role.go:213.2,215.16 3 0
go-averroes/internal/role/role.go:215.16,222.3 3 0
go-averroes/internal/role/role.go:224.2,228.4 2 0
go-averroes/internal/role/role.go:232.46,236.18 3 0
go-averroes/internal/role/role.go:236.18,243.3 3 0
go-averroes/internal/role/role.go:246.2,248.26 3 0
go-averroes/internal/role/role.go:248.26,255.3 3 0
go-averroes/internal/role/role.go:258.2,259.16 2 0
go-averroes/internal/role/role.go:259.16,266.3 3 0
go-averroes/internal/role/role.go:269.2,270.16 2 0
go-averroes/internal/role/role.go:270.16,273.3 1 0
go-averroes/internal/role/role.go:275.2,279.4 2 0
go-averroes/internal/role/role.go:283.46,287.47 3 0
go-averroes/internal/role/role.go:287.47,294.3 3 0
go-averroes/internal/role/role.go:297.2,299.26 3 0
go-averroes/internal/role/role.go:299.26,306.3 3 0
go-averroes/internal/role/role.go:309.2,311.26 3 0
go-averroes/internal/role/role.go:311.26,318.3 3 0
go-averroes/internal/role/role.go:321.2,323.26 3 0
go-averroes/internal/role/role.go:323.26,330.3 3 0
go-averroes/internal/role/role.go:333.2,337.16 2 0
go-averroes/internal/role/role.go:337.16,344.3 3 0
go-averroes/internal/role/role.go:346.2,350.4 2 0
go-averroes/internal/role/role.go:354.46,358.47 3 0
go-averroes/internal/role/role.go:358.47,365.3 3 0
go-averroes/internal/role/role.go:368.2,370.26 3 0
go-averroes/internal/role/role.go:370.26,377.3 3 0
go-averroes/internal/role/role.go:380.2,381.16 2 0
go-averroes/internal/role/role.go:381.16,388.3 3 0
go-averroes/internal/role/role.go:390.2,394.4 2 0
go-averroes/internal/role/role.go:398.48,402.18 3 0
go-averroes/internal/role/role.go:402.18,409.3 3 0
go-averroes/internal/role/role.go:412.2,414.26 3 0
go-averroes/internal/role/role.go:414.26,421.3 3 0
go-averroes/internal/role/role.go:423.2,430.16 2 0
go-averroes/internal/role/role.go:430.16,437.3 3 0
go-averroes/internal/role/role.go:438.2,441.18 3 0
go-averroes/internal/role/role.go:441.18,444.17 3 0
go-averroes/internal/role/role.go:444.17,446.12 2 0
go-averroes/internal/role/role.go:448.3,448.30 1 0
go-averroes/internal/role/role.go:451.2,455.4 2 0
go-averroes/internal/middleware/middleware.go:19.61,20.30 1 1
go-averroes/internal/middleware/middleware.go:20.30,23.17 3 0
go-averroes/internal/middleware/middleware.go:23.17,30.4 3 0
go-averroes/internal/middleware/middleware.go:32.3,46.108 3 0
go-averroes/internal/middleware/middleware.go:46.108,48.4 1 0
go-averroes/internal/middleware/middleware.go:51.3,52.11 2 0
go-averroes/internal/middleware/middleware.go:56.65,57.30 1 1
go-averroes/internal/middleware/middleware.go:57.30,60.17 3 0
go-averroes/internal/middleware/middleware.go:60.17,68.4 4 0
go-averroes/internal/middleware/middleware.go:70.3,85.17 4 0
go-averroes/internal/middleware/middleware.go:85.17,87.117 2 0
go-averroes/internal/middleware/middleware.go:87.117,89.5 1 0
go-averroes/internal/middleware/middleware.go:92.3,96.11 3 0
go-averroes/internal/middleware/middleware.go:100.61,101.30 1 1
go-averroes/internal/middleware/middleware.go:101.30,104.17 3 0
go-averroes/internal/middleware/middleware.go:104.17,111.4 3 0
go-averroes/internal/middleware/middleware.go:113.3,126.104 3 0
go-averroes/internal/middleware/middleware.go:126.104,128.4 1 0
go-averroes/internal/middleware/middleware.go:131.3,132.11 2 0
go-averroes/internal/middleware/middleware.go:136.56,137.30 1 1
go-averroes/internal/middleware/middleware.go:137.30,139.10 2 1
go-averroes/internal/middleware/middleware.go:139.10,147.4 4 1
go-averroes/internal/middleware/middleware.go:149.3,152.10 3 0
go-averroes/internal/middleware/middleware.go:152.10,160.4 4 0
go-averroes/internal/middleware/middleware.go:162.3,171.17 4 0
go-averroes/internal/middleware/middleware.go:171.17,180.4 4 0
go-averroes/internal/middleware/middleware.go:182.3,183.11 2 0
go-averroes/internal/middleware/middleware.go:187.42,188.30 1 1
go-averroes/internal/middleware/middleware.go:188.30,205.3 8 1
go-averroes/internal/middleware/middleware.go:209.39,210.30 1 1
go-averroes/internal/middleware/middleware.go:210.30,213.23 2 1
go-averroes/internal/middleware/middleware.go:213.23,221.4 4 1
go-averroes/internal/middleware/middleware.go:224.3,225.18 2 1
go-averroes/internal/middleware/middleware.go:225.18,233.4 4 1
go-averroes/internal/middleware/middleware.go:236.3,237.17 2 1
go-averroes/internal/middleware/middleware.go:237.17,245.4 4 1
go-averroes/internal/middleware/middleware.go:248.3,249.11 2 1
go-averroes/internal/middleware/middleware.go:254.58,255.30 1 1
go-averroes/internal/middleware/middleware.go:255.30,257.10 2 0
go-averroes/internal/middleware/middleware.go:257.10,265.4 4 0
go-averroes/internal/middleware/middleware.go:268.3,276.17 3 0
go-averroes/internal/middleware/middleware.go:276.17,284.4 4 0
go-averroes/internal/middleware/middleware.go:286.3,286.11 1 0
go-averroes/internal/middleware/middleware.go:291.63,292.30 1 1
go-averroes/internal/middleware/middleware.go:292.30,294.10 2 1
go-averroes/internal/middleware/middleware.go:294.10,302.4 4 0
go-averroes/internal/middleware/middleware.go:305.3,309.38 4 1
go-averroes/internal/middleware/middleware.go:309.38,312.4 2 1
go-averroes/internal/middleware/middleware.go:314.3,325.31 4 1
go-averroes/internal/middleware/middleware.go:325.31,333.4 4 1
go-averroes/internal/middleware/middleware.go:335.3,335.11 1 0
go-averroes/internal/middleware/middleware.go:340.40,342.2 1 1
go-averroes/internal/middleware/middleware.go:345.47,346.30 1 1
go-averroes/internal/middleware/middleware.go:346.30,349.23 2 1
go-averroes/internal/middleware/middleware.go:349.23,353.4 2 1
go-averroes/internal/middleware/middleware.go:356.3,357.18 2 0
go-averroes/internal/middleware/middleware.go:357.18,361.4 2 0
go-averroes/internal/middleware/middleware.go:364.3,365.17 2 0
go-averroes/internal/middleware/middleware.go:365.17,370.4 3 0
go-averroes/internal/middleware/middleware.go:373.3,374.11 2 0
go-averroes/internal/middleware/middleware.go:379.55,380.56 1 1
go-averroes/internal/middleware/middleware.go:380.56,382.3 1 1
go-averroes/internal/middleware/middleware.go:383.2,383.11 1 1
go-averroes/internal/middleware/middleware.go:388.62,389.30 1 1
go-averroes/internal/middleware/middleware.go:389.30,392.17 3 0
go-averroes/internal/middleware/middleware.go:392.17,399.4 3 0
go-averroes/internal/middleware/middleware.go:401.3,417.107 3 0
go-averroes/internal/middleware/middleware.go:417.107,419.4 1 0
go-averroes/internal/middleware/middleware.go:422.3,423.11 2 0
go-averroes/internal/user_calendar/user_calendar.go:21.47,24.9 3 0
go-averroes/internal/user_calendar/user_calendar.go:24.9,26.3 1 0
go-averroes/internal/user_calendar/user_calendar.go:28.2,29.9 2 0
go-averroes/internal/user_calendar/user_calendar.go:29.9,31.3 1 0
go-averroes/internal/user_calendar/user_calendar.go:32.2,41.16 4 0
go-averroes/internal/user_calendar/user_calendar.go:41.16,42.36 1 0
go-averroes/internal/user_calendar/user_calendar.go:42.36,49.4 3 0
go-averroes/internal/user_calendar/user_calendar.go:50.3,55.9 3 0
go-averroes/internal/user_calendar/user_calendar.go:58.2,62.4 2 0
go-averroes/internal/user_calendar/user_calendar.go:66.47,69.9 3 1
go-averroes/internal/user_calendar/user_calendar.go:69.9,71.3 1 0
go-averroes/internal/user_calendar/user_calendar.go:73.2,74.9 2 1
go-averroes/internal/user_calendar/user_calendar.go:74.9,76.3 1 0
go-averroes/internal/user_calendar/user_calendar.go:77.2,81.16 3 1
go-averroes/internal/user_calendar/user_calendar.go:81.16,88.3 3 0
go-averroes/internal/user_calendar/user_calendar.go:89.2,94.36 4 1
go-averroes/internal/user_calendar/user_calendar.go:94.36,101.3 3 0
go-averroes/internal/user_calendar/user_calendar.go:104.2,108.16 2 1
go-averroes/internal/user_calendar/user_calendar.go:108.16,110.55 1 0
go-averroes/internal/user_calendar/user_calendar.go:110.55,117.4 3 0
go-averroes/internal/user_calendar/user_calendar.go:118.3,123.9 3 0
go-averroes/internal/user_calendar/user_calendar.go:126.2,129.36 2 1
go-averroes/internal/user_calendar/user_calendar.go:129.36,136.3 3 0
go-averroes/internal/user_calendar/user_calendar.go:138.2,143.4 2 1
go-averroes/internal/user_calendar/user_calendar.go:147.50,150.9 3 0
go-averroes/internal/user_calendar/user_calendar.go:150.9,152.3 1 0
go-averroes/internal/user_calendar/user_calendar.go:154.2,155.9 2 0
go-averroes/internal/user_calendar/user_calendar.go:155.9,157.3 1 0
go-averroes/internal/user_calendar/user_calendar.go:158.2,162.16 3 0
go-averroes/internal/user_calendar/user_calendar.go:162.16,169.3 3 0
go-averroes/internal/user_calendar/user_calendar.go:170.2,175.35 4 0
go-averroes/internal/user_calendar/user_calendar.go:175.35,182.3 3 0
go-averroes/internal/user_calendar/user_calendar.go:185.2,186.16 2 0
go-averroes/internal/user_calendar/user_calendar.go:186.16,193.3 3 0
go-averroes/internal/user_calendar/user_calendar.go:195.2,195.36 1 0
go-averroes/internal/user_calendar/user_calendar.go:195.36,202.3 3 0
go-averroes/internal/user_calendar/user_calendar.go:204.2,208.4 2 0
go-averroes/internal/user_calendar/user_calendar.go:212.50,215.9 3 0
go-averroes/internal/user_calendar/user_calendar.go:215.9,217.3 1 0
go-averroes/internal/user_calendar/user_calendar.go:219.2,220.9 2 0
go-averroes/internal/user_calendar/user_calendar.go:220.9,222.3 1 0
go-averroes/internal/user_calendar/user_calendar.go:223.2,227.16 3 0
go-averroes/internal/user_calendar/user_calendar.go:227.16,234.3 3 0
go-averroes/internal/user_calendar/user_calendar.go:235.2,240.35 4 0
go-averroes/internal/user_calendar/user_calendar.go:240.35,247.3 3 0
go-averroes/internal/user_calendar/user_calendar.go:249.2,250.16 2 0
go-averroes/internal/user_calendar/user_calendar.go:250.16,257.3 3 0
go-averroes/internal/user_calendar/user_calendar.go:259.2,259.36 1 0
go-averroes/internal/user_calendar/user_calendar.go:259.36,266.3 3 0
go-averroes/internal/user_calendar/user_calendar.go:268.2,272.4 2 0
go-averroes/internal/user_calendar/user_calendar.go:276.48,279.9 3 0
go-averroes/internal/user_calendar/user_calendar.go:279.9,281.3 1 0
go-averroes/internal/user_calendar/user_calendar.go:282.2,292.16 3 0
go-averroes/internal/user_calendar/user_calendar.go:292.16,299.3 3 0
go-averroes/internal/user_calendar/user_calendar.go:300.2,303.18 3 0
go-averroes/internal/user_calendar/user_calendar.go:303.18,315.17 3 0
go-averroes/internal/user_calendar/user_calendar.go:315.17,322.4 3 0
go-averroes/internal/user_calendar/user_calendar.go:323.3,323.54 1 0
go-averroes/internal/user_calendar/user_calendar.go:326.2,331.4 2 0
go-averroes/internal/user_calendar/user_calendar.go:335.53,338.9 3 0
go-averroes/internal/user_calendar/user_calendar.go:338.9,340.3 1 0
go-averroes/internal/user_calendar/user_calendar.go:341.2,351.16 3 0
go-averroes/internal/user_calendar/user_calendar.go:351.16,358.3 3 0
go-averroes/internal/user_calendar/user_calendar.go:359.2,362.18 3 0
go-averroes/internal/user_calendar/user_calendar.go:362.18,374.17 3 0
go-averroes/internal/user_calendar/user_calendar.go:374.17,381.4 3 0
go-averroes/internal/user_calendar/user_calendar.go:382.3,382.54 1 0
go-averroes/internal/user_calendar/user_calendar.go:385.2,390.4 2 0
go-averroes/internal/user_calendar/user_calendar.go:394.50,396.9 2 1
go-averroes/internal/user_calendar/user_calendar.go:396.9,398.3 1 0
go-averroes/internal/user_calendar/user_calendar.go:399.2,402.23 3 1
go-averroes/internal/user_calendar/user_calendar.go:402.23,409.3 3 0
go-averroes/internal/user_calendar/user_calendar.go:410.2,411.16 2 1
go-averroes/internal/user_calendar/user_calendar.go:411.16,418.3 3 0
go-averroes/internal/user_calendar/user_calendar.go:419.2,419.33 1 1
go-averroes/internal/user_calendar/user_calendar.go:419.33,426.3 3 0
go-averroes/internal/user_calendar/user_calendar.go:427.2,427.28 1 1
go-averroes/internal/calendar/calendar.go:18.43,20.48 2 0
go-averroes/internal/calendar/calendar.go:20.48,26.3 2 0
go-averroes/internal/calendar/calendar.go:28.2,29.9 2 0
go-averroes/internal/calendar/calendar.go:29.9,36.3 3 0
go-averroes/internal/calendar/calendar.go:38.2,43.4 2 0
go-averroes/internal/calendar/calendar.go:47.43,50.9 3 1
go-averroes/internal/calendar/calendar.go:50.9,52.3 1 0
go-averroes/internal/calendar/calendar.go:53.2,58.47 4 1
go-averroes/internal/calendar/calendar.go:58.47,65.3 3 1
go-averroes/internal/calendar/calendar.go:67.2,70.16 3 1
go-averroes/internal/calendar/calendar.go:70.16,77.3 3 0
go-averroes/internal/calendar/calendar.go:78.2,84.16 3 1
go-averroes/internal/calendar/calendar.go:84.16,91.3 3 0
go-averroes/internal/calendar/calendar.go:93.2,100.16 4 1
go-averroes/internal/calendar/calendar.go:100.16,107.3 3 1
go-averroes/internal/calendar/calendar.go:109.2,111.36 2 1
go-averroes/internal/calendar/calendar.go:111.36,118.3 3 0
go-averroes/internal/calendar/calendar.go:120.2,128.4 2 1
go-averroes/internal/calendar/calendar.go:132.46,134.48 2 0
go-averroes/internal/calendar/calendar.go:134.48,140.3 2 0
go-averroes/internal/calendar/calendar.go:142.2,143.9 2 0
go-averroes/internal/calendar/calendar.go:143.9,150.3 3 0
go-averroes/internal/calendar/calendar.go:151.2,154.47 3 0
go-averroes/internal/calendar/calendar.go:154.47,161.3 3 0
go-averroes/internal/calendar/calendar.go:164.2,164.42 1 0
go-averroes/internal/calendar/calendar.go:164.42,171.3 3 0
go-averroes/internal/calendar/calendar.go:173.2,175.28 3 0
go-averroes/internal/calendar/calendar.go:175.28,178.3 2 0
go-averroes/internal/calendar/calendar.go:179.2,183.16 4 0
go-averroes/internal/calendar/calendar.go:183.16,190.3 3 0
go-averroes/internal/calendar/calendar.go:192.2,196.4 2 0
go-averroes/internal/calendar/calendar.go:200.46,202.48 2 0
go-averroes/internal/calendar/calendar.go:202.48,208.3 2 0
go-averroes/internal/calendar/calendar.go:210.2,211.9 2 0
go-averroes/internal/calendar/calendar.go:211.9,218.3 3 0
go-averroes/internal/calendar/calendar.go:219.2,222.16 3 0
go-averroes/internal/calendar/calendar.go:222.16,229.3 3 0
